,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,,,アウダーシア,牡2,56.0,ルメール,手塚久,,美浦,2023107321,05339,キズナ,リリーノーブル,ルーラーシップ
1,,,ウインドオブヘヴン,牡2,56.0,横山武,戸田,,美浦,2023100734,01170,ロードカナロア,キストゥヘヴン,アドマイヤベガ
2,,,エレクトロン,牡2,56.0,嶋田,佐藤吉,,美浦,2023106608,01134,ビーチパトロール Beach Patrol(米),ヨイミヤ,マツリダゴッホ
3,,,ゴバド,牝2,55.0,マーカンド,加藤征,,美浦,2023105239,05626,トーセンラー,シャンデリアスピン,ノヴェリスト  Novellist(愛)
4,,,ジーティージェミル,牝2,52.0,▲遠藤,伊藤伸,,美浦,2023106332,01218,ドリームバレンチノ,ナイスドゥ,フサイチセブン
5,,,ツキノマバタキ,牝2,55.0,石橋脩,牧,,美浦,2023103569,01077,エイシンフラッシュ,ムーンビード,American Pharoah  (米)
6,,,ピルスナー,牝2,55.0,原,青木,,美浦,2023106458,01184,ベンバトル  Benbatl(英),ネオザミスティック,ハーツクライ
7,,,フラワーフェアリー,牝2,55.0,丹内,畠山,,美浦,2023102361,01091,ヴァンセンヌ  2009 鹿毛  [血統][産駒]  Halo系,アンローランサン  2006 鹿毛  [血統][産駒]  FNo.[1-w],フサイチコンコルド  1993 鹿毛  [血統][産駒]
8,,,プルヴォワール,牝2,55.0,菅原明,竹内,,美浦,2023110075,01179,Dabirsim,Almahroosa,Green Tune
9,,,ベルウッドバイオ,牡2,56.0,吉田豊,高橋文,,美浦,2023104069,00733,ダノンスマッシュ  2015 鹿毛  [血統][産駒]  Mr. Prospector系,コウエイオトメ  2008 鹿毛  [血統][産駒]  FNo.[4-r],ハーツクライ  2001 鹿毛  [血統][産駒]
10,,,ホワイトフレイムス,牡2,56.0,Ｃデムーロ,吉岡,,栗東,2023106873,05473,ポエティックフレア Poetic Flare(愛),イルーシヴゴールド,ステイゴールド
11,,,レーヌシェーヌ,牝2,55.0,柴田大,畠山,,美浦,2023110057,01009,Kameko  (米)  2017 黒鹿毛  [血統][産駒]  Sadler's Wells系,Missy O' Gwaun  2008 [血統][産駒]  FNo.[1-l],キングズベスト  King's Best(米)  1997 鹿毛  [血統][産駒]
12,,,ロジキセキ,牡2,56.0,野中,新開,,美浦,2023100578,01158,アドマイヤマーズ,グロッタアズーラ,フジキセキ
