,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,,,アスコットヴェール,牝2,55.0,佐々木,竹内,,美浦,2023109067,01197,モズアスコット  2014 栗毛  [血統][産駒]  Sadler's Wells系,アースグリーン  2008 栗毛  [血統][産駒]  FNo.[4-m],Street Cry  (愛)  1998 黒鹿毛  [血統][産駒]
1,,,アンシュウマト,牡2,56.0,岩部,中川,,美浦,2023101929,00726,マクフィ  Makfi(英)  2007 鹿毛  [血統][産駒]  Mr. Prospector系,オクシペタルム  2008 黒鹿毛  [血統][産駒]  FNo.[2-n],シンボリクリスエス  1999 黒鹿毛  [血統][産駒]
2,,,イヌボウノキラメキ,牝2,55.0,プーシャン,国枝,,美浦,2023103090,05678,ドレフォン  Drefong(米)  2013 鹿毛  [血統][産駒]  Storm Bird系,ホクラニミサ  2011 黒鹿毛  [血統][産駒]  FNo.[4-n],ディープインパクト  2002 鹿毛  [血統][産駒]
3,,,イネガラーブル,牡2,56.0,吉田隼,久保田,,美浦,2023103314,01095,ロードカナロア  2008 鹿毛  [血統][産駒]  Mr. Prospector系,アブソリュートレディ  Absolute Lady(愛)  2006 鹿毛  [血統][産駒]  FNo.[2-f],Galileo  (愛)  1998 鹿毛  [血統][産駒]
4,,,エジプシャンマウ,牝2,55.0,マーカンド,武井,,美浦,2023107216,05626,American Pharoah  (米)  2012 鹿毛  [血統][産駒]  Mr. Prospector系,ヘヴンハズマイニッキー  2015 栗毛  [血統][産駒]  FNo.[52],マジェスティックウォリアー  Majestic Warrior(米)  2005 鹿毛  [血統][産駒]
5,,,グリットウォリアー,牡2,56.0,岩田望,高橋忠,,栗東,2023106648,01174,マジェスティックウォリアー  Majestic Warrior(米)  2005 鹿毛  [血統][産駒]  Seattle Slew系,プレシャスベガ  2011 黒鹿毛  [血統][産駒]  FNo.[9-f],キングカメハメハ  2001 鹿毛  [血統][産駒]
6,,,ケファロニア,牡2,56.0,北村宏,高柳瑞,,美浦,2023107274,01043,ルヴァンスレーヴ  2015 鹿毛  [血統][産駒]  Roberto系,メリッサーニ  2015 鹿毛  [血統][産駒]  FNo.[4-r],ゴールドアリュール  1999 栗毛  [血統][産駒]
7,,,ケンブリッジルプス,牡2,54.0,△長浜,萱野,,美浦,2023101688,01214,ミッキーグローリー  2013 青鹿毛  [血統][産駒]  Halo系,アテナブルー  2007 栗毛  [血統][産駒]  FNo.[5-g],ジャングルポケット  1998 鹿毛  [血統][産駒]
8,,,シュヴァルツシルト,牡2,56.0,坂井,田島,,美浦,2023100359,01163,ミスチヴィアスアレックス  Mischevious Alex(米)  2017 鹿毛  [血統][産駒]  Storm Bird系,パワフルノンコ  2015 鹿毛  [血統][産駒]  FNo.[6-a],ワークフォース  Workforce(英)  2007 鹿毛  [血統][産駒]
9,,,ストラーダ,牝2,55.0,Ｃデムーロ,安田,,栗東,2023100937,05473,ルヴァンスレーヴ  2015 鹿毛  [血統][産駒]  Roberto系,スイートジュエリー  2009 黒鹿毛  [血統][産駒]  FNo.[23],キングカメハメハ  2001 鹿毛  [血統][産駒]
10,,,ゼフィリア,牝2,55.0,丹内,岩戸,,美浦,2023107422,01091,サンダースノー  Thunder Snow(愛)  2014 鹿毛  [血統][産駒]  Danzig系,イフィゲニア  2018 栗毛  [血統][産駒]  FNo.[9-h],エピファネイア  2010 鹿毛  [血統][産駒]
11,,,タイセイエキサイト,牡2,56.0,原,青木,,美浦,2023103968,01184,アジアエクスプレス  2011 栗毛  [血統][産駒]  Storm Bird系,コウセイエリザベス  2014 鹿毛  [血統][産駒]  FNo.[1-t],アイルハヴアナザー  I'll Have Another(米)  2009 栗毛  [血統][産駒]
12,,,ドラリズム,牡2,56.0,津村,武藤,,美浦,2023100515,01092,コパノリッキー  2010 栗毛  [血統][産駒]  Halo系,ラッキーレディ  2010 鹿毛  [血統][産駒]  FNo.[16-a],ネオユニヴァース  2000 鹿毛  [血統][産駒]
13,,,ノーブルクラウド,牝2,55.0,横山琉,久保田,,美浦,2023103069,01192,カレンブラックヒル  2009 黒鹿毛  [血統][産駒]  Halo系,ノーブルスノー  2013 芦毛  [血統][産駒]  FNo.[16-c],クロフネ  1998 芦毛  [血統][産駒]
14,,,プラトニックガール,牝2,55.0,丸田,田村,,美浦,2023105130,01117,イスラボニータ  2011 黒鹿毛  [血統][産駒]  Halo系,スイートウィスパー  2016 鹿毛  [血統][産駒]  FNo.[9],ルーラーシップ  2007 鹿毛  [血統][産駒]
15,,,マジョリカ,牝2,55.0,菊沢,菊沢,,美浦,2023102826,01161,リオンディーズ  2013 黒鹿毛  [血統][産駒]  Mr. Prospector系,プリンセスドルチェ  2003 鹿毛  [血統][産駒]  FNo.[7-f],アドマイヤベガ  1996 鹿毛  [血統][産駒]
