,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,,,アシャカブラン,牡4,58.0,秋山稔,大根田,,栗東,2021105933,01181,エスポワールシチー,シルショコラティエ,カコイーシーズ Cacoethes(米)
1,,,アスクアメージモア,牡4,55.0,▲古川奈,前川,,栗東,2021105128,01190,エピファネイア,デアリングエッジ,キングカメハメハ
2,,,アンビシャスヨシノ,牡3,57.0,内田博,吉田,,栗東,2022101903,00422,アルアイン,ウインドクラスト,スペシャルウィーク
3,,,ウォーターパラディ,牡3,57.0,菱田,岡田,,栗東,2022103229,01144,ウォータービルド,トレースイスラ,サウスヴィグラス
4,,,キュードス,牡3,57.0,団野,荒川,,栗東,2022106312,01180,ミスターメロディ,アルカンジュ,チチカステナンゴ Chichicastenango(仏)
5,,,ケイアイブイスリー,牡3,57.0,和田竜,平田,,栗東,2022106583,01018,ルヴァンスレーヴ,ケイアイガーベラ,Smarty Jones (米)
6,,,ケイアイマウンガ,牡3,57.0,藤懸,宮本,,栗東,2022106582,01138,マクフィ Makfi(英),ケイアイアテナ,Afleet Alex
7,,,ニシノジェダイ,牡3,55.0,◇永島,宮本,,栗東,2022106998,01187,ゴールドドリーム,スターペスユウコ,バトルライン
8,,,ハミルトン,牡3,57.0,鮫島駿,高野,,栗東,2022102896,01157,キズナ,ドリームオブジェニー Dream of Genie(仏),Pivotal
9,,,バルミラクル,牡3,57.0,鮫島良,河嶋,,栗東,2022106177,01099,マクフィ Makfi(英),ミラクルクロス,フジキセキ
10,,,バレル,牡6,58.0,松若,井上,,栗東,2019102672,01154,シルバーステート,ミスエンピリカル,プリサイスエンド Precise End(米)
11,,,ヒデノブルースカイ,牡3,56.0,☆吉村,梅田,,栗東,2022100837,01216,ナダル Nadal(米),ブロンシェダーム,ディープインパクト
12,,,プチプランス,牡3,57.0,西村淳,藤岡,,栗東,2022101565,01171,リアルスティール,シャイスター Shyster(亜),Equal Stripes
13,,,モズケイスター,牡3,57.0,高杉,高柳大,,栗東,2022102127,01213,モズアスコット,モズレディーモー,Uncle Mo (米)
14,,,ラピダリア,牝4,56.0,富田,吉田,,栗東,2021100652,01168,マジェスティックウォリアー Majestic Warrior(米),ベルクリア,ヴァーミリアン
15,,,レオンバローズ,牡6,58.0,国分優,渡辺,,栗東,2019104068,01125,エピファネイア,ニコールバローズ,ゼンノロブロイ
