,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,,,アイファーリーベン,牝6,54.0,△長浜,的場,,美浦,2019102950,01214,アーネストリー,アイファーアプリル,スパイキュール
1,,,エイミームーン,牝3,55.0,原,矢野,,美浦,2022106013,01184,ポアゾンブラック,ジョジョニー,ゴールドアリュール
2,,,エコロヴァルム,牡4,58.0,丹内,小西,,美浦,2021103529,01091,ロージズインメイ Roses in May(米),ファミリーズオナー,デュランダル
3,,,エルオレンス,牡3,57.0,柴田善,深山,,美浦,2022101060,00641,フォーウィールドライブ Four Wheel Drive(米),ゴールドカルラ,ゼンノロブロイ
4,,,オーサムデアラー,セ5,58.0,北村友,上原博,,美浦,2020102952,01102,マインドユアビスケッツ Mind Your Biscuits(米),デアリングハート,サンデーサイレンス Sunday Silence(米)
5,,,ジェイエルジェティ,牝4,53.0,▲石田,小西,,美浦,2021101833,01203,デクラレーションオブウォー,ホウライアキコ,ヨハネスブルグ Johannesburg(米)
6,,,ジェイエルバース,牡3,57.0,小林凌,小西,,美浦,2022100604,01177,マジェスティックウォリアー Majestic Warrior(米),ホウライマリーン,サウスヴィグラス
7,,,シュレン,牝3,55.0,菊沢,千葉,,美浦,2022102380,01161,ディーマジェスティ,トウカイフィーバー,エンパイアメーカー Empire Maker(米)
8,,,シュードタキライト,牡3,57.0,佐々木,菊川,,美浦,2022103509,01197,ウインブライト,クイックメール,タイキシャトル
9,,,スノーホルンロード,セ6,55.0,▲石神道,清水英,,美浦,2019106520,01209,ロードカナロア,ホワイトエレガンス,クロフネ
10,,,スパークインザアイ,セ8,58.0,武藤,小島,,美浦,2017105392,01169,ルーラーシップ,スパークオンアイス,シンボリクリスエス
11,,,トルズイーガー,牡5,55.0,▲佐藤,伊藤圭,,美浦,2020104135,01207,マインドユアビスケッツ Mind Your Biscuits(米),ファイトユアソング,スズカマンボ
12,,,トレヴィ,牝3,55.0,レーン,木村,,美浦,2022102988,05585,スワーヴリチャード,ドメニカ Domenica(伯),Redattore
13,,,フィーチャリング,セ3,57.0,松山,和田郎,,美浦,2022105824,01126,ヘニーヒューズ Henny Hughes(米),バウンシーチューン,ステイゴールド
14,,,マクミランテソーロ,牡4,58.0,横山武,田中剛,,美浦,2021102276,01170,レッドファルクス,ダラステソーロ,Cairo Prince
15,,,メッエフアパラ,牡4,58.0,坂井,辻,,美浦,2021106066,01163,エスポワールシチー,ビーナストリック,キングヘイロー
