,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,,,ヴィーナスキック,牝2,55.0,原,青木,,美浦,2023109051,01184,キセキ,アドマイヤプルート,アドマイヤコジーン
1,,,グリュック,牡2,53.0,▲石神道,和田郎,,美浦,2023107537,01209,Known Agenda  (米),Cateybug,Tiznow
2,,,シュピラー,牡2,56.0,菅原明,高木,,美浦,2023106141,01179,サンダースノー Thunder Snow(愛),アロンザモナ,ストリートセンス Street Sense(米)
3,,,ソードスレイプニル,牝2,55.0,丹内,鈴木慎,,美浦,2023103942,01091,インディチャンプ,ゴールドエンジェル,クロフネ
4,,,タイセイモノリス,牡2,56.0,マーカンド,栗田,,美浦,2023100655,05626,ゴールドドリーム,マイネレーヌ,マイネルラヴ
5,,,ニシノゲッパク,牝2,53.0,◇今村,伊藤伸,,美浦,2023106259,01193,セイウンコウセイ,ニシノビアンカ,クロフネ
6,,,ニシノトマラナイ,セ2,56.0,杉原,矢野,,美浦,2023106272,01135,ドレフォン  Drefong(米),ニシノウララ,リーチザクラウン
7,,,ニンジャトットリ,牡2,56.0,木幡育,松永康,,美浦,2023106658,01167,ミッキーアイル,ディアデム,シンボリクリスエス
8,,,ヒナノムサシ,牡2,56.0,柴田善,本間,,美浦,2023101645,00641,ミッキーアイル,シルクリバー,タニノギムレット
9,,,ブライトラン,牡2,56.0,津村,尾形,,美浦,2023100346,01092,マインドユアビスケッツ  Mind Your Biscuits(米),シャドウカラーズ,キングカメハメハ
10,,,ブルーミーティア,牡2,56.0,横山武,鈴木伸,,美浦,2023100647,01170,モズアスコット,ショコラミーティア,マジェスティックウォリアー  Majestic Warrior(米)
11,,,マイネルテオドロス,牡2,56.0,佐々木,菊川,,美浦,2023106407,01197,ダノンバラード,マイネフェリックス,アグネスデジタル
12,,,ライトアズフェザー,牝2,53.0,△長浜,千葉,,美浦,2023106063,01214,アルアイン,ベッラヴォルタ,ヴィクトワールピサ
13,,,ラインジーク,牡2,56.0,レーン,水野,,美浦,2023101323,05585,シニスターミニスター  Sinister Minister(米),モリトシラギク,クロフネ
14,,,ラスエル,牝2,55.0,池添,田村,,美浦,2023107446,01032,クリソベリル,ラスエモーショネス,Fastnet Rock  (豪)
15,,,レピュニット,牡2,56.0,プーシャン,宮田,,美浦,2023105208,05678,モズアスコット,ピエモンテ,フジキセキ
