,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重
202610011105,1,3,3,クラップサンダー,牡7,60.0,黒岩,0:3:17.3,,6,14.2,,,栗東 牧田,464(+4)
202610011105,2,5,6,テーオーリカード,セ6,60.0,小野寺,0:3:17.6,1.3/4,3,4.7,,,栗東 高柳大,478(-8)
202610011105,3,4,4,スコラーリ,牡7,60.0,伴,0:3:17.7,1/2,2,4.4,,,美浦 萩原,484(+4)
202610011105,4,7,10,ウィズユアドリーム,牡6,60.0,高田,0:3:18.0,1.3/4,10,26.4,,,栗東 宮地,512(+4)
202610011105,5,7,9,アルマーザアミール,牡5,60.0,小牧加,0:3:18.4,2.1/2,11,47.7,,,栗東 斉藤崇,506(+4)
202610011105,6,2,2,ロードプレイヤー,牡6,57.0,▲坂口,0:3:18.5,1,4,8.2,,,美浦 尾形,466(+8)
202610011105,7,5,5,ミトロジー,セ10,60.0,金子,0:3:18.6,クビ,7,16.5,,,美浦 尾関,484(+2)
202610011105,8,8,11,シャンドゥレール,セ6,60.0,五十嵐,0:3:19.4,5,9,25.8,,,美浦 国枝,502(+6)
202610011105,9,6,8,ウイングランブルー,牡6,60.0,大江圭,0:3:19.5,1/2,8,23.5,,,美浦 深山,480(-2)
202610011105,10,6,7,タイセイジャスパー,セ7,60.0,上野,0:3:20.2,4,5,12.0,,,美浦 伊藤圭,502(+6)
202610011105,11,8,12,ヴィアルークス,牡8,60.0,森一,0:3:21.0,5,1,3.0,,,栗東 小林,514(+4)
202610011105,中止,1,1,ローンウルフ,牡5,60.0,石神深,,,12,112.9,,,美浦 武市,494(-2)
