,race_type,course_len,ground_state,class,winner_pops,place_pops
143,芝,2200,重,all,3.64,5.56
144,芝,2200,不良,all,,
145,芝,2200,全,未勝利,4.57,5.45
146,芝,2200,良,未勝利,5.35,5.51
147,芝,2200,稍重,未勝利,,
148,芝,2200,重,未勝利,3.0,5.33
149,芝,2200,不良,未勝利,,
150,芝,2200,全,新馬,,
151,芝,2200,良,新馬,,
152,芝,2200,稍重,新馬,,
153,芝,2200,重,新馬,,
154,芝,2200,不良,新馬,,
155,芝,2200,全,1勝クラス,5.32,5.76
156,芝,2200,良,1勝クラス,2.95,5.17
157,芝,2200,稍重,1勝クラス,12.86,7.29
158,芝,2200,重,1勝クラス,4.91,6.0
159,芝,2200,不良,1勝クラス,,
160,芝,2200,全,2勝クラス,4.91,4.91
161,芝,2200,良,2勝クラス,,
162,芝,2200,稍重,2勝クラス,4.91,4.91
163,芝,2200,重,2勝クラス,,
164,芝,2200,不良,2勝クラス,,
165,芝,2200,全,3勝クラス,4.25,4.33
166,芝,2200,良,3勝クラス,4.25,4.33
167,芝,2200,稍重,3勝クラス,,
168,芝,2200,重,3勝クラス,,
169,芝,2200,不良,3勝クラス,,
170,芝,2200,全,オープン,4.11,4.11
171,芝,2200,良,オープン,4.11,4.11
172,芝,2200,稍重,オープン,,
173,芝,2200,重,オープン,,
174,芝,2200,不良,オープン,,
175,芝,2500,全,all,4.26,5.39
176,芝,2500,良,all,3.94,5.47
177,芝,2500,稍重,all,3.0,3.0
178,芝,2500,重,all,9.0,5.57
179,芝,2500,不良,all,3.0,7.0
180,芝,2500,全,未勝利,,
181,芝,2500,良,未勝利,,
182,芝,2500,稍重,未勝利,,
183,芝,2500,重,未勝利,,
184,芝,2500,不良,未勝利,,
185,芝,2500,全,新馬,,
186,芝,2500,良,新馬,,
187,芝,2500,稍重,新馬,,
188,芝,2500,重,新馬,,
189,芝,2500,不良,新馬,,
190,芝,2500,全,1勝クラス,1.29,3.86
191,芝,2500,良,1勝クラス,1.29,3.86
192,芝,2500,稍重,1勝クラス,,
193,芝,2500,重,1勝クラス,,
194,芝,2500,不良,1勝クラス,,
195,芝,2500,全,2勝クラス,4.73,5.17
196,芝,2500,良,2勝クラス,5.17,5.71
197,芝,2500,稍重,2勝クラス,3.0,3.0
198,芝,2500,重,2勝クラス,,
199,芝,2500,不良,2勝クラス,,
200,芝,2500,全,3勝クラス,6.19,5.79
201,芝,2500,良,3勝クラス,3.38,6.0
202,芝,2500,稍重,3勝クラス,,
203,芝,2500,重,3勝クラス,9.0,5.57
204,芝,2500,不良,3勝クラス,,
205,芝,2500,全,オープン,2.62,6.31
206,芝,2500,良,オープン,2.25,5.62
207,芝,2500,稍重,オープン,,
208,芝,2500,重,オープン,,
209,芝,2500,不良,オープン,3.0,7.0
210,芝,3600,全,all,9.0,4.88
211,芝,3600,良,all,9.0,4.88
212,芝,3600,稍重,all,,
213,芝,3600,重,all,,
214,芝,3600,不良,all,,
215,芝,3600,全,未勝利,,
216,芝,3600,良,未勝利,,
217,芝,3600,稍重,未勝利,,
218,芝,3600,重,未勝利,,
219,芝,3600,不良,未勝利,,
220,芝,3600,全,新馬,,
221,芝,3600,良,新馬,,
222,芝,3600,稍重,新馬,,
223,芝,3600,重,新馬,,
224,芝,3600,不良,新馬,,
225,芝,3600,全,1勝クラス,,
226,芝,3600,良,1勝クラス,,
227,芝,3600,稍重,1勝クラス,,
228,芝,3600,重,1勝クラス,,
229,芝,3600,不良,1勝クラス,,
230,芝,3600,全,2勝クラス,,
231,芝,3600,良,2勝クラス,,
232,芝,3600,稍重,2勝クラス,,
233,芝,3600,重,2勝クラス,,
234,芝,3600,不良,2勝クラス,,
235,芝,3600,全,3勝クラス,,
236,芝,3600,良,3勝クラス,,
237,芝,3600,稍重,3勝クラス,,
238,芝,3600,重,3勝クラス,,
239,芝,3600,不良,3勝クラス,,
240,芝,3600,全,オープン,9.0,4.88
241,芝,3600,良,オープン,9.0,4.88
242,芝,3600,稍重,オープン,,
243,芝,3600,重,オープン,,
244,芝,3600,不良,オープン,,
245,ダート,1200,全,all,3.97,5.02
246,ダート,1200,良,all,3.96,5.12
247,ダート,1200,稍重,all,3.18,5.03
248,ダート,1200,重,all,3.35,4.56
249,ダート,1200,不良,all,5.77,4.65
250,ダート,1200,全,未勝利,2.9,4.24
251,ダート,1200,良,未勝利,2.91,4.25
252,ダート,1200,稍重,未勝利,2.83,4.39
253,ダート,1200,重,未勝利,2.25,5.81
254,ダート,1200,不良,未勝利,3.24,3.46
255,ダート,1200,全,新馬,4.32,5.1
256,ダート,1200,良,新馬,4.31,5.12
257,ダート,1200,稍重,新馬,4.5,6.19
258,ダート,1200,重,新馬,4.16,3.92
259,ダート,1200,不良,新馬,,
