,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id
202506010101,1,6,11,ピッツァナポリ,牝3,55.0,大野拓弥,0:1:12.2,nan,2.5,1.0,460,[東] 新開幸一,1200,晴,ダート,良,2025年1月5日,未勝利,2022105247,01096
202506010101,2,2,3,グリューネベルグ,牝3,55.0,丹内祐次,0:1:12.7,3,12.0,6.0,444,[東] 青木孝文,1200,晴,ダート,良,2025年1月5日,未勝利,2022106581,01091
202506010101,3,7,13,ロッキンミー,牝3,52.0,佐藤翔馬,0:1:13.0,2,156.0,11.0,436,[東] 杉浦宏昭,1200,晴,ダート,良,2025年1月5日,未勝利,2022107050,01207
202506010101,4,5,10,ルックアトミー,牝3,55.0,菊沢一樹,0:1:13.1,1/2,2.8,2.0,494,[東] 菊沢隆徳,1200,晴,ダート,良,2025年1月5日,未勝利,2022103727,01161
202506010101,5,6,12,ダイチラポール,牡3,54.0,長浜鴻緒,0:1:13.4,2,7.3,3.0,476,[東] 蛯名利弘,1200,晴,ダート,良,2025年1月5日,未勝利,2022100076,01214
202506010101,6,1,2,ジルクン,牡3,53.0,小林美駒,0:1:13.5,クビ,50.1,7.0,414,[東] 鈴木慎太,1200,晴,ダート,良,2025年1月5日,未勝利,2022101022,01206
202506010101,7,4,8,セイリオス,牝3,55.0,杉原誠人,0:1:13.7,1.1/4,211.8,14.0,472,[東] 宮田敬介,1200,晴,ダート,良,2025年1月5日,未勝利,2022106350,01135
202506010101,8,2,4,タッカーバリアント,牡3,57.0,戸崎圭太,0:1:13.7,クビ,8.4,4.0,466,[東] 田島俊明,1200,晴,ダート,良,2025年1月5日,未勝利,2022100105,05386
202506010101,9,4,7,コナベイション,牡3,57.0,横山武史,0:1:13.8,1/2,11.6,5.0,460,[東] 伊藤圭三,1200,晴,ダート,良,2025年1月5日,未勝利,2022101692,01170
202506010101,10,3,5,チャンピオンリボン,牝3,55.0,木幡初也,0:1:14.0,1,196.9,13.0,422,[東] 竹内正洋,1200,晴,ダート,良,2025年1月5日,未勝利,2022102964,01153
202506010101,11,1,1,ショウブダッシュ,牝3,52.0,石神深道,0:1:14.2,1.1/4,231.3,15.0,432,[東] 青木孝文,1200,晴,ダート,良,2025年1月5日,未勝利,2022102642,01209
