,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id
202501010101,1,3,3,ショウナンカリス,牝2,55.0,北村友一,0:1:08.9,nan,4.8,3.0,408,[東]  加藤士津,1200,曇,芝,良,2025年07月26日,未勝利,2023105347,01102
202501010101,2,4,4,ファニーバニー,牝2,55.0,鮫島克駿,0:1:09.1,1.1/4,2.4,1.0,428,[西]  杉山佳明,1200,曇,芝,良,2025年07月26日,未勝利,2023105277,01157
202501010101,3,2,2,ハルヒメ,牝2,52.0,小林美駒,0:1:09.1,ハナ,4.2,2.0,388,[東]  矢嶋大樹,1200,曇,芝,良,2025年07月26日,未勝利,2023103400,01206
202501010101,4,6,7,カンレイスター,牝2,55.0,荻野琢真,0:1:09.9,5,46.9,8.0,434,[東]  矢野英一,1200,曇,芝,良,2025年07月26日,未勝利,2023105558,01112
202501010101,5,8,12,ココソラーレ,牝2,52.0,鷲頭虎太,0:1:10.1,1.1/4,77.1,10.0,424,[東]  天間昭一,1200,曇,芝,良,2025年07月26日,未勝利,2023109031,01202
202501010101,6,8,11,ストームサンダー,牡2,55.0,丹内祐次,0:1:10.2,1/2,10.0,5.0,454,[西]  安達昭夫,1200,曇,芝,良,2025年07月26日,未勝利,2023100772,01091
202501010101,7,7,10,サンタカリス,牝2,55.0,黛弘人,0:1:10.2,アタマ,92.1,11.0,436,[西]  秋山真一,1200,曇,芝,良,2025年07月26日,未勝利,2023100986,01109
202501010101,8,6,8,トーセンクリステル,牝2,52.0,舟山瑠泉,0:1:10.4,1.1/2,74.4,9.0,460,[東]  杉浦宏昭,1200,曇,芝,良,2025年07月26日,未勝利,2023105359,01221
202501010101,9,5,5,モズプリフォール,牡2,55.0,佐々木大,0:1:10.4,ハナ,5.5,4.0,488,[西]  矢作芳人,1200,曇,芝,良,2025年07月26日,未勝利,2023105738,01197
202501010101,10,7,9,オンマイビート,牡2,52.0,和田陽希,0:1:10.6,3/4,109.3,12.0,450,[東]  松山将樹,1200,曇,芝,良,2025年07月26日,未勝利,2023100344,01223
202501010101,11,5,6,ナムラシンジロー,牡2,52.0,古川奈穂,0:1:11.1,3,41.2,7.0,426,[西]  羽月友彦,1200,曇,芝,良,2025年07月26日,未勝利,2023100672,01190
202501010101,12,1,1,セイウンダイフク,牡2,55.0,池添謙一,0:1:11.4,1.3/4,36.9,6.0,428,[西]  宮本博,1200,曇,芝,良,2025年07月26日,未勝利,2023104705,01032
202501010102,1,7,9,エンジェルラダー,牝3,55.0,佐々木大,0:0:59.5,nan,1.6,1.0,488,[東] 木村哲也,1000,曇,ダート,良,2025年07月26日,未勝利,2022110064,01197
202501010102,2,2,2,タイセイアビリティ,牡3,57.0,斎藤新,0:0:59.5,アタマ,12.0,4.0,472,[西] 小林真也,1000,曇,ダート,良,2025年07月26日,未勝利,2022102799,01178
202501010102,3,8,12,ラピルスイメル,牝3,52.0,古川奈穂,0:0:59.6,クビ,9.9,3.0,504,[西] 小崎憲,1000,曇,ダート,良,2025年07月26日,未勝利,2022106194,01190
202501010102,4,6,8,サツキレジーナ,牝3,55.0,古川吉洋,0:0:59.6,クビ,31.6,6.0,418,[東] 石栗龍彦,1000,曇,ダート,良,2025年07月26日,未勝利,2022101204,01015
